PLFS HOUSEHOLD LEVEL DATA  (FIRST VISIT) OF CALENDAR YEAR 2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
File: CHHV1.txt  (HOUSEHOLD LEVEL-FIRST VISIT)         RECORD LENTH:218+1,,,,,,,
Srl,Full Name,Block,Item /Col.,Field Length,Byte Position,,Remarks
1,File Identification,,,5,1,5.0,CFVH5
2,Schdule,1,2,3,6,8.0,104
3,Quarter,,,2,9,10.0,Q1 to Q4
4,Month,,,2,11,12.0,01 to 12
5,Visit,,,2,13,14.0,V1 for first visit
6,Sector,1,3,1,15,15.0,
7,State/Ut Code,0,1,2,16,17.0,
8,District Code,1,5,2,18,19.0,
9,NSS-Region,1,4,3,20,22.0,
10,Basic Stratum,,,4,23,26.0,
11,Stratum,1,6,3,27,29.0,
12,Group,,,1,30,30.0,
13,Sub-Stratum,1,7,2,31,32.0,
14,Fod Sub-Region,1,12,4,33,36.0,
15,FSU,1,1,5,37,41.0,
16,Second Stage Stratum No.,1,15,1,42,42.0,
17,Sample Household Number,1,16,2,43,44.0,
18,Month of Survey,1,10,2,45,46.0,
19,Response Code,1,18,1,47,47.0,
20,Survey Code,1,19,1,48,48.0,
21,Reason for Substitution of original household,1,20,1,49,49.0,
22,Household Size,3,1,2,50,51.0,
23,Household Type,3,2,1,52,52.0,
24,Religion,3,3,1,53,53.0,
25,Social Group,3,4,1,54,54.0,
26,Household's usual consumer Expenditure in A Month for purposes out of Goods and Services(Rs.),3,5.1,10,55,64.0,
27,Imputed value of usual consumption in a month out of Home Grown stock (Rs.),3,5.2,10,65,74.0,
28,"Imputed value of usual consumption in a Month from wages in kind,free collection, gifts etc. (Rs.)",3,5.3,10,75,84.0,
29,"Household's Annual Expenditure on purchase of items like clothing, footwear etc.(Rs.)",3,5.4,10,85,94.0,
30,"Household's Annual Expenditure on purchase of durables like Bedstead, TV, fridge etc.(Rs.)",3,5.5,10,95,104.0,
31,Household'S Usual Consumer Expenditure In A Month (Rs.),3,5.6,10,105,114.0,
32,land possessed as on the date of survey (code),3,6.1,2,115,116.0,
33,land leased-out as on the date of survey (code),3,6.2,2,117,118.0,
34,rent received from land and rental received from building usually in a month: make entry in whole number of rupees,3,7.1,10,119,128.0,
35,interest received from investment or savings usually in a month: make entry in whole number of rupees,3,7.2,10,129,138.0,
36,pension received usually in a month: make entry in whole number of rupees,3,7.3,10,139,148.0,
37,remittances usually received in a month: make entry in whole number of rupees,3,7.4,10,149,158.0,
38,total of items 7.1 to 7.4: make entry in whole number of rupees,3,7.5,10,159,168.0,
39,Informant Serial no.,1,17,2,169,170.0,
40,Survey Date,2,2(i),10,171,180.0,
41,Total Time Taken To Canvass Sch. 10.4,2,4,4,181,184.0,
42,Ns count (# of FSUs surveyed) for sector x stratum x group x substratum,,,3,185,187.0,
44,Multiplier,,,10,188,197.0,
43,Total Sub-Division,,,3,198,200.0,"Sch. 0.0, block 4.2A, item 3"
45,Stratum size,,,10,201,210.0,
46,Number of listed households,,,4,211,214.0,"Sch. 0.0, block 6, col. 4"
47,Number of selected households,,,2,215,216.0,"Sch. 0.0, block 6, col. 5"
47.7,Panel code,,,2,217,218.0,05' generated
,,,,,,,
,,,,,,,
PLFS PERSON LEVEL DATA (FIRST VISIT) OF CALENDAR YEAR 2025,,,,,,,
 File: CPERV1.txt (PERSON LEVEL)             RECORD LENGTH: 371+1,,,,,,,
Srl,Full Name,Block,Item /Col.,Field Length,Byte Position,,Remarks
1,File Identification,,,5,1,5.0,CFVP5
2,Schdule,1,2,3,6,8.0,104
3,Quarter,,,2,9,10.0,Q1 to Q4
4,Month,,,2,11,12.0,01 to 12
5,Visit,,,2,13,14.0,V1 for first visit
6,Sector,1,3,1,15,15.0,
7,State/Ut Code,0,1,2,16,17.0,
8,District Code,1,5,2,18,19.0,
9,NSS-Region,1,4,3,20,22.0,
10,Basic Stratum,,,4,23,26.0,
11,Stratum,1,6,3,27,29.0,
12,Group,,,1,30,30.0,
13,Sub-Stratum,1,7,2,31,32.0,
14,Fod Sub-Region,1,12,4,33,36.0,
15,FSU,1,1,5,37,41.0,
16,Second Stage Stratum No.,1,15,1,42,42.0,
17,Sample Household Number,1,16,2,43,44.0,
18,Person Serial No.,4,1,2,45,46.0,
19,Relationship To Head,4,4,1,47,47.0,
20,Gender,4,5,1,48,48.0,
21,Age,4,6,3,49,51.0,
22,Marital Status,4,7,1,52,52.0,
23,General Educaion Level,4,8,2,53,54.0,
24,Technical Educaion Level,4,9,2,55,56.0,
25,class/grade successfully completed,4,10,2,57,58.0,
26,year(s) of education completed prior to class I ,4,11,1,59,59.0,
27,year(s) of education completed after the class/grade recorded in column 10,4,12,2,60,61.0,
28,whether the last completed year of education recorded in column 12 was the last year of education attended,4,13,1,62,62.0,
29,No. of months attended in the last year of Education,4,14,2,63,64.0,
30,Status of Current Attendance in Educational Institution,4,15,2,65,66.0,"Up to June 2025: 0-29 years, From July 2025: 0-59 years"
31,whether attended secondary education,4,16,2,67,68.0,
32,Whether received any Vocational/Technical Training,4,17,1,69,69.0,
33,whether received or receiving any training or course for entrance in higher education or for employment exams by an institute / training center,4,18,1,70,70.0,From July 2025
34,when the training / course mentioned in col 17 or col 18 was completed ,4,19,1,71,71.0,From July 2025
35,Whether Training completed during last 365 Days,4.1,3,1,72,72.0,Up to June 2025
36,Field Of Training,4.1,4,2,73,74.0,
37,Duration Of Training,4.1,5,1,75,75.0,
38,Type Of Training,4.1,6,1,76,76.0,
39,Source Of Funding The Training,4.1,7,1,77,77.0,
40,Nature of the certifying body from which vocational / technical training received,4.1,8,1,78,78.0,
41,Status Code,5.1,3,2,79,80.0,
42,Industry Code (NIC),5.1,5,5,81,85.0,
43,Occupation Code (NCO),5.1,6,3,86,88.0,
44,Whether Engaged In Any Work In Subsidiary Capacity,5.1,7,1,89,89.0,
45,(Principal)location Of Workplace Code,5.1,8,2,90,91.0,
46,(Principal) Enterprise Type Code,5.1,9,2,92,93.0,
47,(Principal) No. Of Workers In The Enterprise,5.1,10,1,94,94.0,
48,(Principal)  Type Of Job Contract,5.1,11,1,95,95.0,
49,(Principal) Eligble Of Paid Leave,5.1,12,1,96,96.0,
50,(Principal) Social Security Benefits,5.1,13,1,97,97.0,
51,(Principal) Usage of product of the economic activity,5.1,14,1,98,98.0,
52,Status Code,5.2,3,2,99,100.0,
53,Industry Code (NIC),5.2,5,5,101,105.0,
54,Occupation Code (NCO),5.2,6,3,106,108.0,
55,(Subsidiary) location Of Workplace Code,5.2,7,2,109,110.0,
56,(Subsidiary)  Enterprise Type Code,5.2,8,2,111,112.0,
57,(Subsidiary)  No. Of Workers In The Enterprise,5.2,9,1,113,113.0,
58,(Subsidiary)   Type Of Job Contract,5.2,10,1,114,114.0,
59,(Subsidiary)  Eligble Of Paid Leave,5.2,11,1,115,115.0,
60,(Subsidiary)  Social Security Benefits,5.2,12,1,116,116.0,
61,(Subsidiary) Usage of product of the economic activity,5.2,13,1,117,117.0,
62,Ever Worked Prior to last 365 days,5.3,5,1,118,118.0,
63,Duration of engagement in the economic activity in usual Principal Activity Status,5.3,6,1,119,119.0,
64,Duration of engagement in the economic activity in Subsidiary Activity Status,5.3,7,1,120,120.0,
65,Efforts undertaken to search work,5.3,8,1,121,121.0,
66,Duration of spell of Unemployment,5.3,9,1,122,122.0,
67,Whether Ever Worked ,5.3,10,1,123,123.0,
68, Reason for not working in last 365 days,5.3,11,2,124,125.0,
69,Main reason for being in Principal activity status (91 to 97) ,5.3,12,1,126,126.0,
70,Status Code for activity 1,6,4/3.1,2,127,128.0,
71,Industry Code (NIC) for activity 1,6,5/3.1,2,129,130.0,
72,hours actuallly worked for activity 1 on 7 th day,6,6/3.1,2,131,132.0,
73,wage earning for activity 1 on 7 th day,6,9/3.1,5,133,137.0,
74,Status Code for activity 2,6,4/3.1,2,138,139.0,
75,Industry Code (NIC) for activity 2,6,5/3.1,2,140,141.0,
76,hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2,142,143.0,
77,wage earning for activity 2 on 7 th day,6,9/3.1,5,144,148.0,
78,total hours actually worked on 7th day,6,7/3.1,2,149,150.0,
79,hours available for aditional worked on 7th day,6,8/3.1,2,151,152.0,
80,Status Code for activity 1,6,4/3.2,2,153,154.0,
81,Industry Code (NIC) for activity 1,6,5/3.2,2,155,156.0,
82,hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2,157,158.0,
83,wage earning for activity 1 on 7 th day,6,9/3.2,5,159,163.0,
84,Status Code for activity 2,6,4/3.2,2,164,165.0,
85,Industry Code (NIC) for activity 2,6,5/3.2,2,166,167.0,
86,hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2,168,169.0,
87,wage earning for activity 2 on 6 th day,6,9/3.2,5,170,174.0,
88,total hours actually worked on 6th day,6,7/3.2,2,175,176.0,
89,hours available for aditional worked on 6th day,6,8/3.2,2,177,178.0,
90,Status Code for activity 1,6,4/3.3,2,179,180.0,
91,Industry Code (NIC) for activity 1,6,5/3.3,2,181,182.0,
92,hours actuallly worked for activity 1 on5 th day,6,6/3.3,2,183,184.0,
93,wage earning for activity 1 on 5 th day,6,9/3.3,5,185,189.0,
94,Status Code for activity 2,6,4/3.3,2,190,191.0,
95,Industry Code (NIC) for activity 2,6,5/3.3,2,192,193.0,
96,hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2,194,195.0,
97,wage earning for activity 2 on 5 th day,6,9/3.3,5,196,200.0,
98,total hours actually worked on 5th day,6,7/3.3,2,201,202.0,
99,hours available for aditional worked on 5th day,6,8/3.3,2,203,204.0,
100,Status Code for activity 1,6,4/3.4,2,205,206.0,
101,Industry Code (NIC) for activity 1,6,5/3.4,2,207,208.0,
102,hours actuallly worked for activity 1 on 4th day,6,6/3.4,2,209,210.0,
103,wage earning for activity 1 on 4th day,6,9/3.4,5,211,215.0,
104,Status Code for activity 2,6,4/3.4,2,216,217.0,
105,Industry Code (NIC) for activity 2,6,5/3.4,2,218,219.0,
106,hours actuallly worked for activity 2 on 4th day,6,6/3.4,2,220,221.0,
107,wage earning for activity 2 on 4th day,6,9/3.4,5,222,226.0,
108,total hours actually worked on 4th day,6,7/3.4,2,227,228.0,
109,hours available for aditional worked on 4th day,6,8/3.4,2,229,230.0,
110,Status Code for activity 1,6,4/3.5,2,231,232.0,
111,Industry Code (NIC) for activity 1,6,5/3.5,2,233,234.0,
112,hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2,235,236.0,
113,wage earning for activity 1 on 3rd day,6,9/3.5,5,237,241.0,
114,Status Code for activity 2,6,4/3.5,2,242,243.0,
115,Industry Code (NIC) for activity 2,6,5/3.5,2,244,245.0,
116,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,246,247.0,
117,wage earning for activity 2 on 3 rd day,6,9/3.5,5,248,252.0,
118,total hours actually worked on 3rd day,6,7/3.5,2,253,254.0,
119,hours available for aditional worked on 3rd day,6,8/3.5,2,255,256.0,
120,Status Code for activity 1,6,4/3.6,2,257,258.0,
121,Industry Code (NIC) for activity 1,6,5/3.6,2,259,260.0,
122,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,261,262.0,
123,wage earning for activity 1 on 2nd day,6,9/3.6,5,263,267.0,
124,Status Code for activity 2,6,4/3.6,2,268,269.0,
125,Industry Code (NIC) for activity 2,6,5/3.6,2,270,271.0,
126,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,272,273.0,
127,wage earning for activity 2 on 2nd day,6,9/3.6,5,274,278.0,
128,total hours actually worked on 2nd day,6,7/3.6,2,279,280.0,
129,hours available for aditional worked on 2nd day,6,8/3.6,2,281,282.0,
130,Status Code for activity 1,6,4/3.7,2,283,284.0,
131,Industry Code (NIC) for activity 1,6,5/3.7,2,285,286.0,
132,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,287,288.0,
133,wage earning for activity 1 on 1st day,6,9/3.7,5,289,293.0,
134,Status Code for activity 2,6,4/3.7,2,294,295.0,
135,Industry Code (NIC) for activity 2,6,5/3.7,2,296,297.0,
136,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,298,299.0,
137,wage earning for activity 2 on 1st day,6,9/3.7,5,300,304.0,
138,total hours actually worked on 1st day,6,7/3.7,2,305,306.0,
139,hours available for aditional worked on 1st day,6,8/3.7,2,307,308.0,
140,total hours actually worked during the week,6,4 (7),3,309,311.0,
141,total hours available for additional work,6,4 (8),3,312,314.0,
142,Current Weekly Status (CWS),6,5,2,315,316.0,
143,Industry Code (CWS),6,6,2,317,318.0,
144,Occupation Code (CWS),6,7,3,319,321.0,
145,Earnings For Regular Salaried/Wage Activity,6,9,8,322,329.0,
146,Earnings For Self Employed,6,10,8,330,337.0,
147,Ns count (# of FSUs surveyed) for sector x stratum x group x substratum,,,3,338,340.0,
148,Multiplier,,,10,341,350.0,
149,Total Sub-Division,,,3,351,353.0,"Sch. 0.0, block 4.2A, item 3"
150,Stratum size,,,10,354,363.0,
151,Number of listed households,,,4,364,367.0,"Sch. 0.0, block 6, col. 4"
152,Number of selected households,,,2,368,369.0,"Sch. 0.0, block 6, col. 5"
153,Panel code,,,2,370,371.0,05' generated
